category,total_amt,total_cnt
간이주점,2158785025691,47313706
고기요리,4832101787774,83635120
닭/오리요리,2583407720693,81527240
별식/퓨전요리,1699396050437,68397969
부페,301056981363,10930545
분식,2268182376441,159427911
양식,1053114352164,30085861
유흥주점,748657985566,6446304
음식배달서비스,48790594133,2277574
일식/수산물,3983001301734,79728690
제과/제빵/떡/케익,2499151364491,190398054
중식,1483746354587,61908764
커피/음료,4450253240273,497049761
패스트푸드,1822363675344,152450506
한식,14231837129588,444169343
휴게소/대형업체,306241039820,21346467
