category,amt,cnt,year_month
제과/제빵/떡/케익,51185407213.0,3779317.0,202211
중식,30448929791.0,1319509.0,202211
커피/음료,85343146277.0,9299630.0,202211
패스트푸드,37408943605.0,3236040.0,202211
한식,277657346283.0,8834475.0,202211
간이주점,48086670142.0,1014228.0,202212
고기요리,113922249613.0,1849050.0,202212
닭/오리요리,61051147631.0,1935722.0,202212
별식/퓨전요리,31603057911.0,1384984.0,202212
분식,44403127968.0,3268334.0,202212
양식,24112703025.0,644049.0,202212
일식/수산물,98683545050.0,1819457.0,202212
제과/제빵/떡/케익,57554766619.0,3976724.0,202212
중식,32802488329.0,1333906.0,202212
커피/음료,84629212722.0,8753576.0,202212
패스트푸드,38909597310.0,3162903.0,202212
한식,300178247066.0,8828030.0,202212
간이주점,47032378380.0,1012641.0,202301
고기요리,98439117938.0,1683025.0,202301
닭/오리요리,55180181780.0,1719011.0,202301
별식/퓨전요리,28405342929.0,1217891.0,202301
분식,42515278845.0,3051074.0,202301
양식,21668490171.0,596295.0,202301
일식/수산물,85989021505.0,1699047.0,202301
제과/제빵/떡/케익,52085359278.0,3672123.0,202301
중식,31336574914.0,1256572.0,202301
커피/음료,80650275892.0,8470700.0,202301
패스트푸드,37197506528.0,3066205.0,202301
한식,272073827988.0,8181117.0,202301
간이주점,45084816075.0,973524.0,202302
고기요리,99966161261.0,1715709.0,202302
닭/오리요리,55737286179.0,1715949.0,202302
별식/퓨전요리,27980065080.0,1178508.0,202302
분식,43638718084.0,3140652.0,202302
양식,22009938730.0,626909.0,202302
일식/수산물,80835837576.0,1612607.0,202302
제과/제빵/떡/케익,48553045954.0,3561160.0,202302
중식,30637038192.0,1253209.0,202302
커피/음료,80662907341.0,8477781.0,202302
패스트푸드,36402949228.0,2995533.0,202302
한식,269798434664.0,8155502.0,202302
간이주점,50609235633.0,1116441.0,202303
고기요리,111250289243.0,1938194.0,202303
닭/오리요리,62898658620.0,1967643.0,202303
별식/퓨전요리,31202956717.0,1335680.0,202303
분식,50908568754.0,3729824.0,202303
양식,23264642494.0,695912.0,202303
일식/수산물,89987822040.0,1842712.0,202303
제과/제빵/떡/케익,55647284140.0,4262224.0,202303
중식,33140039372.0,1403256.0,202303
커피/음료,97625329960.0,10624186.0,202303
패스트푸드,41261626218.0,3523783.0,202303
한식,309650887842.0,9641670.0,202303
간이주점,50762008514.0,1136831.0,202304
고기요리,110732904697.0,1937713.0,202304
닭/오리요리,63618999594.0,1966907.0,202304
별식/퓨전요리,31022245292.0,1324395.0,202304
분식,52554658017.0,3777298.0,202304
양식,22741524645.0,682199.0,202304
일식/수산물,87882067547.0,1783815.0,202304
