category,amt,year_month
한식,326973523337,202312
간이주점,48593720610,202401
고기요리,156804892939,202401
디저트/음료,140432500593,202401
별식/퓨전요리,33806884694,202401
분식,48336063815,202401
양식,23244948364,202401
일식/수산물,83043886321,202401
중식,33021552866,202401
패스트푸드,38235750395,202401
한식,294789043065,202401
간이주점,46572528724,202402
고기요리,151213824023,202402
디저트/음료,141159303001,202402
별식/퓨전요리,30772435681,202402
분식,45917467615,202402
양식,22501534477,202402
일식/수산물,82541279016,202402
중식,32722354959,202402
패스트푸드,37951563642,202402
한식,285490596046,202402
간이주점,52110194584,202403
고기요리,173909189935,202403
디저트/음료,158007657549,202403
별식/퓨전요리,35064764417,202403
분식,53545620849,202403
양식,24342771679,202403
일식/수산물,94000806751,202403
중식,35594664850,202403
패스트푸드,39572322802,202403
한식,338780754108,202403
간이주점,50655598136,202404
고기요리,166286787216,202404
디저트/음료,156938800257,202404
별식/퓨전요리,33132728128,202404
분식,54200855581,202404
양식,22359925439,202404
일식/수산물,86977922041,202404
중식,32210126779,202404
패스트푸드,39335872432,202404
한식,324912507044,202404
간이주점,52596584906,202405
고기요리,176248547540,202405
디저트/음료,161406664749,202405
별식/퓨전요리,37412631215,202405
분식,56098499167,202405
양식,23854786591,202405
일식/수산물,92163430189,202405
중식,34059305182,202405
패스트푸드,39014891076,202405
한식,342500219406,202405
간이주점,50934598618,202406
고기요리,163437780635,202406
디저트/음료,155854128415,202406
별식/퓨전요리,35594006022,202406
분식,54008815414,202406
양식,21644169454,202406
일식/수산물,81827690126,202406
중식,31712813502,202406
패스트푸드,36743566462,202406
한식,317735947045,202406
간이주점,49518241343,202407
고기요리,164333642557,202407
디저트/음료,151516682345,202407
별식/퓨전요리,38394674076,202407
분식,52331672035,202407
양식,21937208660,202407
일식/수산물,80035279746,202407
중식,32378191988,202407
패스트푸드,36466855453,202407
한식,313408872885,202407
간이주점,50982978427,202408
고기요리,165388799932,202408
디저트/음료,159861912549,202408
별식/퓨전요리,41596506335,202408
분식,55528516269,202408
양식,23854212123,202408
일식/수산물,87680291386,202408
중식,33580126786,202408
패스트푸드,39323038978,202408
한식,330299001892,202408
간이주점,48656639523,202409
고기요리,148889533917,202409
디저트/음료,156821360765,202409
별식/퓨전요리,43164827812,202409
분식,49727414606,202409
양식,20956194027,202409
일식/수산물,89305671008,202409
중식,32213646639,202409
패스트푸드,37736293205,202409
한식,313374478412,202409
간이주점,48888099857,202410
고기요리,156632977636,202410
디저트/음료,155384013542,202410
별식/퓨전요리,50144007223,202410
분식,53751465459,202410
양식,22580811859,202410
일식/수산물,91758094312,202410
중식,34349795855,202410
패스트푸드,39437572538,202410
한식,326784699892,202410
간이주점,45609968390,202411
고기요리,148708292874,202411
디저트/음료,144445540214,202411
별식/퓨전요리,49114407087,202411
분식,47926790692,202411
양식,21380242962,202411
일식/수산물,88796444046,202411
중식,33110507038,202411
패스트푸드,36807135783,202411
한식,303133527465,202411
간이주점,48500896206,202412
고기요리,159673603112,202412
디저트/음료,153225994063,202412
별식/퓨전요리,54897471682,202412
분식,47477898741,202412
양식,27606333868,202412
일식/수산물,101485544133,202412
중식,34879511354,202412
패스트푸드,37725194249,202412
한식,322037899077,202412
간이주점,39803758639,202501
고기요리,130192914222,202501
디저트/음료,133212283612,202501
별식/퓨전요리,46464063544,202501
분식,40679965645,202501
양식,22439412622,202501
일식/수산물,78127529739,202501
중식,30758004120,202501
패스트푸드,34979980470,202501
한식,275866770535,202501
간이주점,34788687359,202502
고기요리,115872854981,202502
디저트/음료,118318180102,202502
별식/퓨전요리,41928415958,202502
분식,37874083217,202502
양식,20466341432,202502
일식/수산물,65442094006,202502
중식,28056050183,202502
패스트푸드,31752617216,202502
한식,266450804854,202502
간이주점,41668845976,202503
고기요리,142263446684,202503
디저트/음료,144515384831,202503
별식/퓨전요리,48876972659,202503
분식,45617571576,202503
양식,23355333303,202503
일식/수산물,80647173044,202503
중식,31777066992,202503
패스트푸드,37187792325,202503
한식,323238540645,202503
간이주점,39104013611,202504
고기요리,134837971930,202504
디저트/음료,142779773684,202504
별식/퓨전요리,45911019101,202504
분식,45716029176,202504
양식,21115032363,202504
일식/수산물,73765152614,202504
중식,29569498063,202504
패스트푸드,37198158958,202504
한식,306343209893,202504
간이주점,42869929108,202505
고기요리,152066191833,202505
디저트/음료,153872560169,202505
별식/퓨전요리,50221320582,202505
분식,50481601575,202505
양식,24526053093,202505
일식/수산물,83615338799,202505
중식,32115772109,202505
패스트푸드,39079243742,202505
한식,338512449407,202505
간이주점,41179499637,202506
고기요리,138960762199,202506
디저트/음료,147715466618,202506
별식/퓨전요리,45076532068,202506
분식,49308223904,202506
양식,21914727238,202506
일식/수산물,74260721978,202506
중식,30012857275,202506
패스트푸드,36804544583,202506
한식,307882463174,202506
간이주점,43900519810,202507
고기요리,151596370416,202507
디저트/음료,155525864701,202507
별식/퓨전요리,49776896829,202507
분식,50788857238,202507
양식,23933645642,202507
일식/수산물,76551260135,202507
중식,31916779394,202507
패스트푸드,39728246291,202507
한식,328465085372,202507
간이주점,44024201052,202508
고기요리,152091717749,202508
디저트/음료,160270528233,202508
별식/퓨전요리,52646089126,202508
분식,51493065050,202508
양식,25317567692,202508
일식/수산물,84802014224,202508
중식,32767841391,202508
패스트푸드,43078375747,202508
한식,337833866178,202508
간이주점,40343218709,202509
고기요리,134719388843,202509
디저트/음료,148301870905,202509
별식/퓨전요리,49005311531,202509
분식,44989964306,202509
양식,21710986078,202509
일식/수산물,78838537857,202509
중식,29774584912,202509
패스트푸드,39449188673,202509
한식,317282490147,202509
간이주점,42479214648,202510
고기요리,140808647719,202510
디저트/음료,157716954465,202510
별식/퓨전요리,52606002644,202510
분식,46807527481,202510
양식,23624360438,202510
일식/수산물,87275318236,202510
중식,32272475971,202510
패스트푸드,42062117092,202510
한식,329522802700,202510
간이주점,40195674133,202511
고기요리,135462870654,202511
디저트/음료,145493441380,202511
별식/퓨전요리,50277840389,202511
분식,44098754972,202511
양식,23350298953,202511
일식/수산물,83259531379,202511
중식,30829852696,202511
패스트푸드,39705113280,202511
한식,328383981091,202511
